date,high,low,open,close,volume
2014-08-05,2226.8380,2206.8500,2224.6320,2219.9450,17538698752
2014-08-06,2223.8930,2192.9930,2212.0030,2217.4650,17771170816
2014-08-07,2220.5680,2185.7630,2216.6590,2187.6690,17523327488
2014-08-08,2199.5780,2180.5970,2188.7090,2194.4250,13518144256
2014-08-11,2225.9610,2198.3140,2199.4330,2224.6540,15058342144
2014-08-12,2222.9790,2210.0000,2222.6960,2221.5950,15479904512
2014-08-13,2230.9910,2202.4430,2223.0510,2222.8770,17806280704
2014-08-14,2230.8940,2204.3840,2221.5410,2206.4660,17014912256
2014-08-15,2230.8720,2203.2420,2207.2260,2226.7340,14997869056
2014-08-18,2242.0350,2228.1340,2229.8040,2239.4660,16392862464
2014-08-19,2246.0160,2227.9250,2242.3400,2245.3300,17774459136
2014-08-20,2248.9390,2233.8920,2241.6640,2240.2110,16765838336
2014-08-21,2240.0770,2211.6300,2239.5680,2230.4580,16573349888
2014-08-22,2243.3030,2225.2670,2228.9740,2240.8120,16011167232
2014-08-25,2241.5530,2222.0090,2241.1000,2229.2740,16211957760
2014-08-26,2232.7850,2200.6180,2225.2910,2207.1060,16350742528
2014-08-27,2216.6700,2204.0480,2207.0300,2209.4650,12088588544
2014-08-28,2219.4730,2194.8610,2210.4840,2195.8180,12422901504
2014-08-29,2218.6960,2193.2630,2198.9460,2217.2000,10520249600
2014-09-01,2236.2860,2217.6850,2220.1290,2235.5110,12916658176
2014-09-02,2267.5090,2234.3780,2239.6840,2266.0460,19212486912
2014-09-03,2290.5470,2268.1000,2268.3950,2288.6270,21247899648
2014-09-04,2307.7010,2283.2770,2290.0290,2306.8620,19948997632
2014-09-05,2327.5570,2307.4470,2311.3050,2326.4320,21318191616
2014-09-09,2331.9170,2315.8940,2328.4260,2326.5270,19699031808
2014-09-10,2321.9080,2306.4210,2318.4960,2318.3050,18982898944
2014-09-11,2343.5950,2304.6020,2315.7320,2311.6790,22222179840
2014-09-12,2331.9500,2302.7750,2308.3460,2331.9500,19347153920
2014-09-15,2340.4490,2321.5930,2330.1870,2339.1400,21511241472
2014-09-16,2347.9350,2293.8690,2341.0270,2296.5550,30269411072
2014-09-17,2309.0480,2282.7950,2298.9820,2307.8930,21084245248
2014-09-18,2319.8750,2297.9310,2303.8500,2315.9280,18908904448
2014-09-19,2331.5610,2305.5170,2312.9840,2329.4510,17464848640
2014-09-22,2323.5540,2284.3780,2323.5540,2289.8660,17584235520
2014-09-23,2311.5250,2289.0240,2289.0910,2309.7180,15685517056
2014-09-24,2345.7470,2297.8760,2302.2310,2343.5750,22252572416
2014-09-25,2365.1540,2336.8050,2352.8650,2345.1030,22568832256
2014-09-26,2350.1090,2329.9550,2339.2880,2347.7180,17474828544
2014-09-29,2363.0590,2346.5790,2353.7080,2357.7110,20011101952
2014-09-30,2365.4910,2354.2680,2361.3180,2363.8700,19391868928
2014-10-08,2382.7940,2354.2900,2368.5760,2382.7940,20439732736
2014-10-09,2391.3480,2367.1110,2383.8590,2389.3710,23592001024
2014-10-10,2386.2770,2365.0750,2380.7550,2374.5400,22467112704
2014-10-13,2366.8620,2341.1240,2366.4260,2366.0090,20089931264
2014-10-14,2380.5150,2349.1940,2362.8020,2359.4750,19683141888
2014-10-15,2374.8080,2344.3730,2358.2330,2373.6700,20280491520
2014-10-16,2389.6750,2353.4060,2361.1300,2356.4990,24820116736
2014-10-17,2360.5970,2312.8260,2352.7840,2341.1840,21230096128
2014-10-20,2357.5090,2340.4590,2346.0520,2356.7280,16002230528
2014-10-21,2361.6530,2337.5510,2355.0330,2339.6570,16882828800
2014-10-22,2352.1240,2324.5900,2339.2230,2326.5530,15269842432
2014-10-23,2329.9270,2297.3300,2322.3160,2302.4180,16263630848
2014-10-24,2314.8750,2296.6570,2303.0800,2302.2800,13222528000
2014-10-27,2293.6440,2279.8360,2293.5730,2290.4370,13026156800
2014-10-28,2338.2780,2294.0120,2294.0120,2337.8710,17859035648
2014-10-29,2381.6430,2339.7120,2343.7200,2373.0300,26558868736
2014-10-30,2397.2560,2365.9190,2371.8910,2391.0760,29464594176
2014-10-31,2423.5960,2384.4830,2393.1780,2420.1780,32576352256
2014-11-03,2436.7850,2418.1670,2425.2250,2430.0320,29882123520
2014-11-04,2435.2230,2417.2210,2428.2710,2430.6770,30901303808
2014-11-05,2434.3630,2415.5020,2432.1690,2419.2540,26360665344
2014-11-06,2426.8900,2401.7500,2419.6170,2425.8640,22200508928
2014-11-07,2454.4230,2407.4420,2427.8980,2418.1710,29117224448
2014-11-10,2474.1560,2428.1850,2436.6280,2473.6730,30062820352
2014-11-11,2508.6230,2445.9600,2483.6480,2469.6730,41190406656
2014-11-12,2494.9170,2444.8140,2454.6020,2494.4760,25293385216
2014-11-13,2507.7430,2471.4070,2494.9980,2485.6060,29503705856
2014-11-14,2481.0250,2457.0450,2477.9660,2478.8240,22060761856
2014-11-17,2508.7670,2472.4460,2506.8640,2474.0090,21568780032
2014-11-18,2477.0520,2449.8130,2474.1820,2456.3660,20106256896
2014-11-19,2461.4910,2442.7100,2452.1500,2450.9860,18623577088
2014-11-20,2458.3190,2437.4760,2443.2760,2452.6600,16549521152
2014-11-21,2488.2010,2446.6460,2452.6350,2486.7910,21223977472
2014-11-24,2546.7460,2495.5210,2505.5320,2532.8790,36348583424
2014-11-25,2568.3810,2527.0770,2531.9980,2567.5970,31431557120
2014-11-26,2605.0700,2570.4040,2572.6490,2604.3450,33712724992
2014-11-27,2631.3990,2599.1080,2615.3670,2630.4860,36407571968
2014-11-28,2683.1800,2622.0610,2629.6260,2682.8350,46588003584
2014-12-01,2720.7430,2668.8410,2691.7250,2680.1550,44679174144
2014-12-02,2777.3720,2665.6860,2667.8200,2763.5450,43773338112
2014-12-03,2824.1790,2733.8680,2768.6780,2779.5250,56212028160
2014-12-04,2900.5080,2772.4320,2783.4690,2899.4560,53268771840
2014-12-05,2978.0290,2813.0520,2926.5730,2937.6470,64050029568
2014-12-08,3041.6570,2879.8470,2907.8150,3020.2580,58757089024
2014-12-09,3091.3240,2834.5920,2992.4900,2856.2690,77199839232
2014-12-10,2946.7070,2807.6780,2855.9400,2940.0060,51288691200
2014-12-11,2965.6750,2892.6110,2912.3460,2925.7430,48263273216
2014-12-12,2962.5100,2914.9560,2929.3600,2938.1730,40948081152
2014-12-15,2960.2270,2890.9040,2921.4460,2953.4210,40037169408
2014-12-16,3021.8970,2943.9120,2953.8110,3021.5180,45384272384
2014-12-17,3076.5990,2993.3330,3031.9520,3061.0200,54250317824
2014-12-18,3089.7910,3030.3190,3062.8010,3057.5210,43590495232
