,macd_fast,macd_slow,macd_signal,annual_return,sqn,trades
152,1,14,7,-22.15515377093001,-1.1801130577006278,138
153,1,14,8,-27.712565348522904,-1.7496140418224209,132
154,1,14,9,-26.217559311058842,-1.6766090662373667,130
155,1,14,10,-25.771566513445933,-1.6537319861945639,130
156,1,14,11,-29.341696020601677,-1.8039708751422736,124
157,1,14,12,-29.866473878422923,-1.8081416297087105,121
158,1,14,13,-31.672990674606634,-1.9342665919274953,123
159,1,14,14,-31.216238838635896,-1.9101214629624248,120
160,1,14,15,-32.81702467167265,-1.8701283448762802,117
161,1,14,16,-31.69582863496732,-1.6824682652280136,118
162,1,14,17,-33.46447897705113,-1.8497881339563813,117
163,1,14,18,-34.14367545323703,-1.8839047280987438,116
164,1,14,19,-35.580267330060956,-1.8852261450212686,116
165,1,14,20,-33.21383735056014,-1.7859816142839526,112
166,1,14,21,-30.92842123496768,-1.5898092436600697,111
167,1,14,22,-30.348775618741392,-1.3614117764366425,113
168,1,14,23,-31.052777407516167,-1.3013486162212518,112
169,1,14,24,-31.16137666805749,-1.3045295442670144,110
170,1,14,25,-34.25675734754935,-1.3417233429718447,108
171,1,14,26,-34.84280343929312,-1.3382805324883633,105
172,1,14,27,-33.0204110514674,-1.365792482188837,107
173,1,14,28,-33.845411711060024,-1.4584322716604805,107
174,1,14,29,-30.715800598578863,-1.4641093171171462,109
175,1,14,30,-32.00712373025475,-1.4546212753688117,108
176,1,14,31,-31.25346731555657,-1.3828047842411548,107
177,1,14,32,-29.82792428313688,-1.3364934381399234,106
178,1,14,33,-25.28294591862636,-1.189540062967946,104
179,1,14,34,-25.951527614889226,-1.2179777707343014,105
180,1,14,35,-25.312649160988656,-1.1790155175432946,106
181,1,14,36,-26.840249223215668,-1.2411764533093925,105
182,1,14,37,-27.056245993176013,-1.2935288003162506,106
183,1,14,38,-27.107712704369813,-1.3057997924300784,107
184,1,14,39,-27.967026908273013,-1.3384234541792324,106
185,1,15,3,-27.741413843365176,-1.727604029982854,203
186,1,15,4,-21.15543026624433,-1.287847622385612,172
187,1,15,5,-23.872140778400393,-1.3827154253521483,154
188,1,15,6,-20.331029981733558,-1.1832675672034554,141
189,1,15,7,-25.56160043753215,-1.5256692569980754,135
190,1,15,8,-28.74559785720035,-1.969877633630034,132
191,1,15,9,-27.461152438558024,-1.918534793297175,130
192,1,15,10,-28.99939771844946,-1.9457107627847823,126
193,1,15,11,-29.84108639094841,-1.9646123406190013,122
194,1,15,12,-32.86100373100155,-2.1636623176463963,124
195,1,15,13,-32.86548771380153,-2.175818982312401,121
196,1,15,14,-34.25098439744195,-2.1061723091665465,117
197,1,15,15,-33.1529610180541,-1.8996969388066396,118
198,1,15,16,-34.504978228493904,-2.0640076599531088,117
199,1,15,17,-34.201847950262234,-2.007418066295566,114
200,1,15,18,-35.19117211619732,-2.0466021924014814,113
201,1,15,19,-33.284826006662136,-1.8216978997441473,111
202,1,15,20,-33.18334884812161,-1.933272087173246,112
203,1,15,21,-34.218498615116715,-1.8333954839476272,110
204,1,15,22,-34.56266020015297,-1.8461232342331284,109
205,1,15,23,-36.665473510197074,-1.7599302191869053,107
206,1,15,24,-37.57365683132168,-1.8034149902433392,107
207,1,15,25,-34.86054285974086,-1.7091265973056542,106
208,1,15,26,-33.0589028531897,-1.6693512925762817,106
209,1,15,27,-35.03113621177465,-1.752814576964367,107
210,1,15,28,-34.66810065422561,-1.7374493614019713,107
211,1,15,29,-33.030593145492496,-1.6041410440633872,106
212,1,15,30,-34.40086640229735,-1.7255695766161883,105
213,1,15,31,-29.487783348767792,-1.5581366752913328,105
214,1,15,32,-27.63633361941085,-1.4549637240327509,105
215,1,15,33,-28.474728099367997,-1.4835284914026803,103
216,1,15,34,-27.901028191329928,-1.4309254583259658,103
217,1,15,35,-29.699311555410173,-1.5772428515493082,103
218,1,15,36,-28.896467870046077,-1.5194197112650787,103
219,1,15,37,-28.778751685875804,-1.5184019495304921,103
220,1,15,38,-28.934181307163936,-1.5820490966911624,104
221,1,15,39,-30.546239059098966,-1.6098337942185224,101
222,1,16,3,-27.828211658355333,-1.7241803668484652,204
223,1,16,4,-18.679150442792988,-1.0986820426146164,165
224,1,16,5,-25.071606387535844,-1.4413303059102236,153
225,1,16,6,-23.390063140626403,-1.3417872036538991,141
226,1,16,7,-25.51290604014641,-1.6283079473850819,135
227,1,16,8,-29.59609812869452,-2.0519758861708937,132
228,1,16,9,-28.26923920139621,-1.927970698878758,130
229,1,16,10,-30.09983655641814,-2.02434119282548,124
230,1,16,11,-32.1420952061717,-2.1430787836470087,124
231,1,16,12,-31.49806747333615,-2.074099398532604,121
232,1,16,13,-34.41683180401072,-2.216396542949727,119
233,1,16,14,-32.80291561735216,-1.875652274150353,118
234,1,16,15,-34.162553260339564,-2.0396877049267825,117
235,1,16,16,-34.863536146919486,-2.021173544118485,115
236,1,16,17,-34.56287402229398,-2.0067937602708765,112
237,1,16,18,-32.32054025984051,-1.7673938471943476,110
238,1,16,19,-33.01110893182243,-1.9273747474687744,112
239,1,16,20,-34.21701592093752,-1.8613006696207328,110
240,1,16,21,-34.21821392086462,-1.860455437351033,108
241,1,16,22,-37.24769299820403,-1.904845642508259,105
242,1,16,23,-34.948394118780826,-1.6943036204295667,106
243,1,16,24,-34.35648158396486,-1.6973441419834785,103
244,1,16,25,-34.410295936169625,-1.6989175045725746,105
245,1,16,26,-34.722492405142766,-1.776373732748737,107
246,1,16,27,-34.058624358585384,-1.6678097658818396,107
247,1,16,28,-33.70112096275541,-1.6213638930278946,106
248,1,16,29,-27.403957932855434,-1.3870899002350319,104
249,1,16,30,-27.07023822819484,-1.421387091616949,104
250,1,16,31,-29.60615084800557,-1.4946456841797306,101
251,1,16,32,-27.99318171629981,-1.4212283391313152,101
252,1,16,33,-27.801830943458945,-1.4038820874321858,101
253,1,16,34,-27.997888959841806,-1.4731716430428325,100
254,1,16,35,-27.73774654213063,-1.4676488127329903,103
255,1,16,36,-28.76540974800521,-1.5504855246265987,101
256,1,16,37,-29.530264649288245,-1.6096576131754299,103
257,1,16,38,-28.274303418375414,-1.550086611902474,101
258,1,16,39,-27.352960265473396,-1.4883534664065123,100
259,1,17,3,-27.09586470583261,-1.622910675745927,199
260,1,17,4,-24.843366786412968,-1.5795378716447672,166
261,1,17,5,-23.926569439413363,-1.3657389620207203,153
