,sma_fast,sma_slow,annual_return,sqn,trades
1244,9,134,0.18680110360856128,0.14289890156278845,5
1245,9,135,0.659937381559303,0.1994444174948403,8
1246,9,136,0.7945180021293161,0.23283618768444916,8
1247,9,137,4.100691850218384,1.1166118561781235,8
1248,9,138,3.725470677502791,1.0245075978768563,7
1249,9,139,2.1876283432213333,0.9655749654533464,6
1250,9,140,5.715332983265746,1.6774606191485093,7
1251,9,141,3.327934389124048,2.096184892783725,5
1252,9,142,2.478955919928266,1.1470770036761577,7
1253,9,143,2.3301633233288164,1.1644636250642093,7
1254,9,144,1.6173222775137281,0.7809768773345025,6
1255,9,145,1.9384443711752302,1.042256771289123,5
1256,9,146,1.806675834963448,0.9606920403949929,7
1257,9,147,-0.6190250589250449,-0.21823722240105187,8
1258,9,148,-0.3678657265535309,-0.1316255978152768,8
1259,9,149,0.4854614154272562,0.20795451417979588,7
1260,10,10,0.0,0.0,0
1261,10,11,-2.7057125119885774,-0.5264901832123801,110
1262,10,12,-1.8334199212043494,-0.3452516970833674,85
1263,10,13,3.5575415016129734,0.4620827774343716,69
1264,10,14,-0.019249723345718315,-0.002669014716574927,59
1265,10,15,2.277306926099468,0.3446363311970055,44
1266,10,16,-0.8565967368550063,-0.11240007603887972,47
1267,10,17,-3.980045173323485,-0.5096257472955784,45
1268,10,18,-0.2560424870939917,-0.034609197024303935,44
1269,10,19,1.9719386560704284,0.22429814428606207,41
1270,10,20,0.358948372928254,0.07314408249369939,39
1271,10,21,0.5691990238682334,0.06513355284307533,36
1272,10,22,-1.1064903106066208,-0.12774554922269243,36
1273,10,23,3.0347558245052153,0.3260718513692344,32
1274,10,24,1.8435883371539885,0.26880195691782677,28
1275,10,25,1.5468695853624668,0.36140870298096367,30
1276,10,26,2.1978793392752647,0.5739983039174482,28
1277,10,27,6.862354780586728,0.9101937173659679,25
1278,10,28,6.508077190961632,0.8395152278553585,21
1279,10,29,1.9051528839534153,0.33714588074256585,23
1280,10,30,6.791014766113341,0.9663700416635032,23
1281,10,31,5.688976792612051,0.9787836989497957,24
1282,10,32,4.064223349647811,0.7060666739771523,27
1283,10,33,11.94175191873031,1.7087020410339573,20
1284,10,34,-0.37188189041606873,-0.0638903196255327,23
1285,10,35,6.182124506745567,0.8416281446121773,24
1286,10,36,6.420420620849968,1.1300725221019805,20
1287,10,37,-1.4314795642070266,-0.3281114932709593,23
1288,10,38,4.408035707001798,0.7040354522842687,24
1289,10,39,7.000761620523519,1.1513431060242159,24
1290,10,40,9.441867736320898,1.1803048614732292,26
1291,10,41,13.479365172645718,1.7943865888456656,21
1292,10,42,12.399258368875927,1.7037647046295803,23
1293,10,43,6.839020693465741,0.9598418904416323,19
1294,10,44,7.977216568831862,1.1796605578875103,18
1295,10,45,10.842275909971377,1.5692332927104555,15
1296,10,46,8.806851587507428,1.3085343102122562,15
1297,10,47,8.861983819280002,1.3584019299405168,14
1298,10,48,8.718506556663485,1.2919681741320705,15
1299,10,49,8.308836497799414,1.2514903684557852,16
1300,10,50,7.254382747504015,0.9901989129519846,17
1301,10,51,8.1917765462325,1.2022257985345621,14
1302,10,52,4.966290981018895,0.6925653514251748,15
1303,10,53,8.334697149920407,0.8987512258583992,13
1304,10,54,6.659316672783283,0.6813540992080842,11
1305,10,55,5.602962728907062,0.544734199196218,12
1306,10,56,8.401305581146977,0.878928590856141,12
1307,10,57,10.547982256521196,1.1233043028454834,13
1308,10,58,9.395076292349986,0.9125400653511572,12
1309,10,59,11.794755753472002,1.212200226575159,13
1310,10,60,12.324450299503097,1.3040609119623656,11
1311,10,61,12.453052283615266,1.2803972742816048,12
1312,10,62,12.414721612441424,1.2747337399567191,12
1313,10,63,11.53886370078772,1.136365858398135,13
1314,10,64,-0.6881710408716873,-0.19355463975440315,11
1315,10,65,11.6428145581758,1.1731187036896442,12
1316,10,66,11.419746924172188,1.1972797503657555,12
1317,10,67,11.486963353936979,1.1541755726259646,12
1318,10,68,9.908840664831969,0.9264007351888377,14
1319,10,69,9.746144034864207,0.9175424250273828,14
1320,10,70,9.661747978097893,0.9119974800752133,14
1321,10,71,10.652339960662477,1.030359149997845,12
1322,10,72,10.942085796147424,1.069494755332033,17
1323,10,73,10.957557827874357,1.0723642273696308,14
1324,10,74,9.273442561293018,0.9334323044360667,16
1325,10,75,8.879622627609482,0.8769764939592484,16
1326,10,76,6.367803940885987,0.6214163289987601,14
1327,10,77,-0.5498069521598187,-0.16291638423777802,13
1328,10,78,7.701922964579372,0.8092733317278106,14
1329,10,79,7.626686163106008,0.7921918806921558,14
1330,10,80,-0.9684622220061865,-0.27325685341187383,12
1331,10,81,10.457508518846181,1.0857650392069116,14
